game_language,model,game,experiment,instance,author_role,agentive_persons,user_mentioned,player_count,loops,frustration,confusion,excitement,trace_language_count,suspects_deception,intends_deception,main_score,response_rate,aborted,lose,success,thinking_length,response_length,ratio_thinking_response
de,nemotron-nano-9b-v2-t1.0,clean_up,2_hard_3obj_de,00001,0.4,1.6727272727272726,0.6363636363636364,1.9636363636363636,0.3,0.4818181818181818,3.9454545454545453,0.045454545454545456,1.0363636363636364,0.0,0.01818181818181818,58.51751297003892,1.0,0,0,1,113333,1952,0.017223580069353144
de,nemotron-nano-9b-v2-t1.0,dond,coop_de,00005,1.0,1.0,0.0,2.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0,9809,18,0.0018350494443878072
de,nemotron-nano-9b-v2-t1.0,dond,coop_de,00019,1.0,1.0,0.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0,17855,29,0.0016241949033884066
de,nemotron-nano-9b-v2-t1.0,dond,coop_de,00013,1.0,1.0,0.0,2.0,1.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0,6923,27,0.00390004333381482
de,nemotron-nano-9b-v2-t1.0,dond,semi_de,00010,1.0,1.0,0.0,2.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0,17975,29,0.0016133518776077886
de,nemotron-nano-9b-v2-t1.0,dond,semi_de,00016,1.0,1.0,0.0,2.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0,7229,27,0.003734956425508369
de,nemotron-nano-9b-v2-t1.0,dond,semi_de,00000,1.0,1.0,0.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0,7614,18,0.002364066193853428
it,deepseek-r1-distill-llama-70b-t1.0,hot_air_balloon,air_balloon_survival_en_negotiation_hard,00002,0.8,1.2,0.2,1.8,0.2,1.0,3.2,1.2,1.0,0.0,0.0,0.0,1.0,1,0,0,24040,2252,0.09367720465890184
it,deepseek-r1-distill-llama-70b-t1.0,hot_air_balloon,air_balloon_survival_en_reasoning off_hard,00004,0.8,0.6,0.2,1.4,0.0,1.2,2.6,0.0,3.0,0.0,0.0,0.0,1.0,1,0,0,18309,883,0.048227647605003005
it,deepseek-r1-distill-llama-70b-t1.0,hot_air_balloon,air_balloon_survival_en_negotiation_easy,00002,0.8,1.8,0.8,2.0,0.0,0.8,2.6,0.2,1.0,0.0,0.0,0.0,1.0,1,0,0,17047,1378,0.08083533759605796
it,deepseek-r1-distill-llama-70b-t1.0,hot_air_balloon,air_balloon_survival_en_reasoning off_easy,00001,1.0,1.0,0.2,2.0,0.0,0.8,3.0,1.4,1.6,0.0,0.0,0.0,1.0,1,0,0,28284,1146,0.04051760712770471
it,deepseek-r1-distill-llama-70b-t1.0,hot_air_balloon,air_balloon_survival_en_complexity_hard,00005,0.4,1.0,0.6,1.4,0.2,2.6,3.6,0.0,1.0,0.2,0.0,0.0,1.0,1,0,0,20467,1951,0.09532418038794156
it,deepseek-r1-distill-llama-70b-t1.0,hot_air_balloon,air_balloon_survival_en_complexity_easy,00001,0.8,1.0,0.0,1.6,0.2,0.8,2.8,0.2,1.4,0.0,0.0,0.0,1.0,1,0,0,34388,2139,0.06220193090613005
it,deepseek-r1-distill-llama-70b-t1.0,clean_up,0_easy_3obj_en,00000,0.7740585774058577,1.502092050209205,0.22594142259414227,2.0,0.17154811715481172,2.071129707112971,2.0418410041841004,0.3305439330543933,1.5188284518828452,0.0,0.0,0.0,1.0,1,1,0,20604,622,0.030188312948941955
it,deepseek-r1-distill-llama-70b-t1.0,clean_up,0_easy_5obj_en,00000,0.8711656441717791,1.0797546012269938,0.0,1.8711656441717792,0.1901840490797546,1.0368098159509203,2.895705521472393,0.49693251533742333,1.2638036809815951,0.0,0.0,78.57336639672374,1.0,0,0,1,65797,823,0.012508169065458912
